SentenceId,CodeElementId
UC35,BeanTourist.java
UC35,BeanOperatorRefreshmentPoint.java
UC36,IAuthentication.java
UC36,ControlData.java
UC38,IDBBanner.java
UC38,AdvertisementRefreshmentPointManager.java
UC38,IAdvertisementRefreshmentPointManager.java
UC38,ControlData.java
UC38,BannerDialog.java
UC38,BannerNode.java
UC38,BeanBanner.java
UC38,IAdvertisementManager.java
UC38,AdvertisementManager.java
UC38,ControllDataAdvertisement.java
UC39,IDBBanner.java
UC39,AdvertisementRefreshmentPointManager.java
UC39,IAdvertisementRefreshmentPointManager.java
UC39,ControlData.java
UC39,BannerDialog.java
UC39,BannerNode.java
UC39,BeanBanner.java
UC39,IAdvertisementManager.java
UC39,AdvertisementManager.java
UC39,ControllDataAdvertisement.java
UC4,DBCulturalHeritage.java
UC4,ICulturalHeritageAgencyManager.java
UC4,CulturalHeritageAgencyManager.java
UC4,Search.java
UC4,StandardSearch.java
UC4,AdvancedSearch.java
UC4,BeanCulturalHeritage.java
UC4,ISearch.java
UC4,CulturalHeritage.java
UC40,IDBBanner.java
UC40,AdvertisementRefreshmentPointManager.java
UC40,IAdvertisementRefreshmentPointManager.java
UC40,BeanBanner.java
UC40,IAdvertisementManager.java
UC40,AdvertisementManager.java
UC40,ControllDataAdvertisement.java
UC41,DBMenu.java
UC41,IDBMenu.java
UC41,DBDish.java
UC41,IDBDish.java
UC41,BeanMenu.java
UC41,BeanDish.java
UC42,DBMenu.java
UC42,IDBMenu.java
UC42,DBDish.java
UC42,IDBDish.java
UC42,BeanMenu.java
UC42,BeanDish.java
UC43,IDBRefreshmentPoint.java
UC43,ControlData.java
UC43,RefreshmentPoint.java
UC43,BeanRefreshmentPoint.java
UC43,IRefreshmentPointCommonManager.java
UC43,RefreshmentPointCommonManager.java
UC43,PRNode.java
UC44,ControlData.java
UC44,IDBConvention.java
UC44,BeanConvention.java
UC45,RefreshmentPointCommonManager.java
UC45,IRefreshmentPointCommonManager.java
UC45,BeanRefreshmentPoint.java
UC45,BeanCulturalHeritage.java
UC46,DBSearchPreference.java
UC46,IDBSearchPreference.java
UC46,TouristCommonManager.java
UC46,BeanSearchPreference.java
UC46,IDBGenericPreference.java
UC46,DBGenericPreference.java
UC47,DBTourist.java
UC47,IDBTourist.java
UC47,TouristClientManager.java
UC47,ITouristClientManager.java
UC47,TouristCommonManager.java
UC47,TouristCard.java
UC47,BeanTourist.java
UC48,DBGenericPreference.java
UC48,IDBGenericPreference.java
UC48,TouristClientManager.java
UC48,BeanGenericPreference.java
UC48,ITouristClientManager.java
UC49,TouristClientManager.java
UC49,ITouristClientManager.java
UC49,CulturalHeritageCommonManager.java
UC49,ICulturalHeritageCommonManager.java
UC49,RefreshmentPointCommonManager.java
UC49,IRefreshmentPointCommonManager.java
UC5,BeanCulturalHeritage.java
UC5,ICulturalHeritageCommonManager.java
UC5,CulturalHeritageCommonManager.java
UC5,CulturalHeritage.java
UC50,IDBVisitBC.java
UC50,DBVisitPR.java
UC50,IDBVisitPR.java
UC50,CulturalHeritageVisitChecker.java
UC50,SiteTableModel.java
UC50,ControlData.java
UC50,BeanVisitBC.java
UC51,IDBGenericPreference.java
UC51,TouristCommonManager.java
UC51,ITouristClientManager.java
UC51,ControlData.java
UC51,BeanGenericPreference.java
UC52,IDBGenericPreference.java
UC52,TouristCommonManager.java
UC52,ITouristClientManager.java
UC52,BeanGenericPreference.java
UC52,IDBTourist.java
UC52,DBTourist.java
UC53,IDBVisitBC.java
UC53,DBVisitPR.java
UC53,IDBVisitPR.java
UC53,CulturalHeritageVisitChecker.java
UC53,SiteTableModel.java
UC53,ControlData.java
UC54,BeanVisitPR.java
UC54,DBVisitBC.java
UC54,IDBVisitBC.java
UC54,DBVisitPR.java
UC54,IDBVisitPR.java
UC54,CulturalHeritageVisitChecker.java
UC54,SiteTableModel.java
UC54,ControlData.java
UC55,ControlData.java
UC55,BeanVisitBC.java
UC55,BeanVisitPR.java
UC56,Point3DRenderer.java
UC56,Search.java
UC56,ISearch.java
UC56,StandardSearch.java
UC57,ISearch.java
UC58,CardBC.java
UC58,CardPR.java
UC58,BeanRefreshmentPoint.java
UC58,BeanCulturalHeritage.java
UC6,DBRefreshmentPoint.java
UC6,RefreshmentPointAgencyManager.java
UC6,IRefreshmentPointAgencyManager.java
UC7,IDBConvention.java
UC7,RefreshmentPointAgencyManager.java
UC7,IRefreshmentPointAgencyManager.java
UC7,BeanConvention.java
UC8,DBRefreshmentPoint.java
UC8,RefreshmentPointAgencyManager.java
UC8,IRefreshmentPointAgencyManager.java
UC8,ControlData.java
UC8,BeanRefreshmentPoint.java
UC9,DBRefreshmentPoint.java
UC9,RefreshmentPointAgencyManager.java
UC9,IRefreshmentPointAgencyManager.java
UC9,Search.java
UC9,StandardSearch.java
UC9,AdvancedSearch.java
UC9,BeanRefreshmentPoint.java
UC9,ISearch.java
