SentenceId,CodeElementId
UC25,HospitalsDAO.java
UC25,SurveyResultDAO.java
UC26E1,GetUserNameAction.java
UC26E1,AuthDAO.java
UC26E2,GetUserNameAction.java
UC26E2,AuthDAO.java
UC26S1,ViewMyRecordsAction.java
UC26S1,LabProcedureDAO.java
UC26S2,GetUserNameAction.java
UC26S2,AuthDAO.java
UC26S2,LabProcUAPAction.java
UC26S2,EditPatientAction.java
UC26S2,PatientDAO.java
UC26S2,LabProcedureDAO.java
UC26S3,GetUserNameAction.java
UC26S3,AuthDAO.java
UC26S3,LabProcUAPAction.java
UC26S3,LabProcedureDAO.java
UC26S4,LabProcedureDAO.java
UC27S1,ResetPasswordAction.java
UC27S1,EmailUtil.java
UC27S2,LabProcUAPAction.java
UC27S2,EmailUtil.java
UC28,ViewPatientOfficeVisitHistoryAction.java
UC28,OfficeVisitDAO.java
UC28,PatientDAO.java
UC29,MyDiagnosisAction.java
UC29,PatientDAO.java
UC29,PersonnelDAO.java
UC29,OfficeVisitDAO.java
UC29,LabProcedureDAO.java
UC2E2,AddPersonnelValidator.java
UC2S1,AddHCPAction.java
UC2S1,PersonnelDAO.java
UC2S1,AuthDAO.java
UC2S2,AddUAPAction.java
UC2S2,PersonnelDAO.java
UC2S2,AuthDAO.java
UC30E1,GetUserNameAction.java
UC30E1,AuthDAO.java
UC30E2,GetUserNameAction.java
UC30E2,AuthDAO.java
UC30S1,SendMessageAction.java
UC30S1,MessageDAO.java
UC30S1,EmailUtil.java
UC30S2,GetUserNameAction.java
UC30S2,AuthDAO.java
UC30S2,SendMessageAction.java
UC30S2,PatientDAO.java
UC30S3,ViewMyMessagesAction.java
UC30S3,MessageDAO.java
UC30S3,SendMessageAction.java
UC30S4,ViewMyMessagesAction.java
UC30S4,MessageDAO.java
UC30S4,SendMessageAction.java
UC30S5,ViewMyMessagesAction.java
UC30S5,MessageDAO.java
UC31S1,PatientDAO.java
UC31S1,ViewExpiredPrescriptionsAction.java
UC31S1,PersonnelDAO.java
UC32S2,ViewPrescriptionRenewalNeedsAction.java
UC32S2,PersonnelDAO.java
UC32S2,PatientDAO.java
UC33S1,PatientDAO.java
UC33S1,PersonnelDAO.java
UC33S1,ReferralManagementAction.java
UC33S1,ReferralDAO.java
UC33S2,ReferralManagementAction.java
UC33S2,PatientDAO.java
UC33S2,PersonnelDAO.java
UC33S2,ReferralDAO.java
UC34E1,GetUserNameAction.java
UC34E1,AuthDAO.java
UC34E2,RemoteMonitoringDataBeanValidator.java
UC34E3,RemoteMonitoringDataBeanValidator.java
UC34E4,RemoteMonitoringDAO.java
UC34S1,GetUserNameAction.java
UC34S1,AuthDAO.java
UC34S1,EditMonitoringListAction.java
UC34S1,RemoteMonitoringDAO.java
UC34S2,AddRemoteMonitoringDataAction.java
UC34S2,RemoteMonitoringDAO.java
UC34S3,ViewMyRemoteMonitoringListAction.java
UC34S3,AuthDAO.java
UC34S3,RemoteMonitoringDAO.java
UC34S4,ViewMyRemoteMonitoringListAction.java
UC34S4,PatientDAO.java
UC34S4,RemoteMonitoringDAO.java
UC34S5,ViewMyRemoteMonitoringListAction.java
UC34S5,RemoteMonitoringDAO.java
UC34S5,AuthDAO.java
UC34S5,AddRemoteMonitoringDataAction.java
UC34S6,AddRemoteMonitoringDataAction.java
UC34S6,RemoteMonitoringDAO.java
UC34S6,EditRepresentativesAction.java
UC34S6,PatientDAO.java
UC35S1,ViewPrescriptionRecordsAction.java
UC35S1,PatientDAO.java
UC35S1,ReportAdverseEventAction.java
UC35S1,AdverseEventDAO.java
UC35S1,EmailUtil.java
UC35S2,ViewMyRecordsAction.java
UC35S2,OfficeVisitDAO.java
UC35S2,ReportAdverseEventAction.java
UC35S2,AdverseEventDAO.java
UC35S2,EmailUtil.java
UC36S1,MonitorAdverseEventAction.java
UC36S1,AdverseEventDAO.java
UC36S1,PatientDAO.java
UC36S1,EmailUtil.java
UC36S2,MonitorAdverseEventAction.java
UC36S2,AdverseEventDAO.java
UC36S2,PatientDAO.java
UC36S2,EmailUtil.java
UC36S3,MonitorAdverseEventAction.java
UC36S3,SendMessageAction.java
UC36S3,MessageDAO.java
UC36S3,PersonnelDAO.java
UC36S3,EmailUtil.java
UC36S3,AdverseEventDAO.java
UC37S1,EditOfficeVisitAction.java
UC37S1,AllergyDAO.java
UC37S2,EditOfficeVisitAction.java
UC37S2,DrugInteractionDAO.java
UC37S2,OfficeVisitDAO.java
UC37S3,EmailUtil.java
UC37S3,EditOfficeVisitAction.java
UC37S3,PatientDAO.java
UC38S1,DrugInteractionAction.java
UC38S1,DrugInteractionDAO.java
UC38S2,DrugInteractionAction.java
UC38S2,DrugInteractionDAO.java
UC3E1,ResetPasswordAction.java
UC3E1,AuthDAO.java
UC3E2,ResetPasswordAction.java
UC3S1,ResetPasswordAction.java
UC3S2,ResetPasswordAction.java
UC3S2,AuthDAO.java
UC3S2,EmailUtil.java
UC3S3,ChangeSessionTimeoutAction.java
UC3S3,AccessDAO.java
UC3S3,SessionTimeoutListener.java
UC3S4,LabProcHCPAction.java
UC3S4,ReportRequestDAO.java
UC3S4,OfficeVisitDAO.java
UC3S4,LabProcedureDAO.java
UC3S5,LabProcedureDAO.java
UC3S5,ViewMyReportRequestsAction.java
UC3S5,ReportRequestDAO.java
UC4E1,SecurityQAValidator.java
UC4E1,PatientValidator.java
UC4E1,PersonnelValidator.java
UC4S1,EditPatientAction.java
UC4S1,EmailUtil.java
UC4S1,PatientDAO.java
UC4S1,SetSecurityQuestionAction.java
UC4S1,AuthDAO.java
UC4S2,SearchUsersAction.java
UC4S2,PatientDAO.java
UC4S2,EditPatientAction.java
UC4S2,EmailUtil.java
UC4S3,EditPersonnelAction.java
UC4S3,SetSecurityQuestionAction.java
UC4S3,PersonnelDAO.java
UC4S3,AuthDAO.java
UC4S4,TransactionDAO.java
UC5S1,TransactionDAO.java
UC5S2,TransactionDAO.java
UC6S1,ViewVisitedHCPsAction.java
UC6S1,PatientDAO.java
UC6S1,PersonnelDAO.java
UC6S2,ViewVisitedHCPsAction.java
UC6S2,DeclareHCPAction.java
UC6S2,PatientDAO.java
UC6S3,ViewVisitedHCPsAction.java
UC6S3,PersonnelDAO.java
UC8S1,ViewMyAccessLogAction.java
UC8S1,TransactionDAO.java
UC8S2,ViewMyAccessLogAction.java
UC8S2,TransactionDAO.java
UC9S1,ViewMyRecordsAction.java
UC9S1,AllergyDAO.java
UC9S1,OfficeVisitDAO.java
UC9S1,HealthRecordsDAO.java
UC9S1,LabProcedureDAO.java
UC9S2,ViewMyRecordsAction.java
UC9S2,FamilyDAO.java
UC1S1,addPatient.jsp
UC2S1,addHCP.jsp
UC2S2,addUAP.jsp
UC3S1,resetPassword.jsp
UC3S3,sessionTimeout.jsp
UC3S4,home.jsp
UC3E2,resetPassword.jsp
UC4S1,editMyDemographics.jsp
UC4S2,getPatientID.jsp
UC6S1,viewVisitedHCPs.jsp
UC6S2,viewVisitedHCPs.jsp
UC6S3,viewVisitedHCPs.jsp
UC8S1,viewAccessLog.jsp
UC8S2,viewAccessLog.jsp
UC9S1,viewMyRecords.jsp
UC10S1,editBasicHealth.jsp
UC10S2,home.jsp
UC10E1,getUser.jsp
UC10E2,getUser.jsp
UC11S1,editOfficeVisit.jsp
UC11S2,editOfficeVisit.jsp
UC11E1,getUser.jsp
UC11E2,getUser.jsp
UC12,home.jsp
UC13E1,getUser.jsp
UC15S1,editCPTProcedureCodes.jsp
UC15S2,editICDCodes.jsp
UC15S3,editNDCodes.jsp
UC15S4,editLOINCCodes.jsp
UC16,chronicDiseaseRisks.jsp
UC17S1,visitReminders.jsp
UC18S1,hospitalListing.jsp
UC18S2,hospitalListing.jsp
UC19S1,viewPrescriptionRecords.jsp
UC19S2,getPrescriptionReport.jsp
UC19S3,getPrescriptionReport.jsp
UC19S3,viewPrescriptionRecords.jsp
UC19E1,getUser.jsp
UC19E2,getUser.jsp
UC21S1,emergencyReport.jsp
UC21E1,getUser.jsp
UC21E2,getUser.jsp
UC23S1,getPatientID.jsp
UC23S1,getUser.jsp
UC23S3,viewReport.jsp
UC23S4,viewMyReportRequests.jsp
UC23E1,getUser.jsp
UC23E2,getPatientID.jsp
UC23E2,getUser.jsp
UC24,survey.jsp
UC25,surveyResults.jsp
UC25E1,surveyResults.jsp
UC26S1,viewMyRecords.jsp
UC26S2,getPatientID.jsp
UC26S2,getUser.jsp
UC26S2,LabProcHCP.jsp
UC26S3,getPatientID.jsp
UC26S3,getUser.jsp
UC26S3,updateLabProc.jsp
UC26S4,home.jsp
UC26E1,getPatientID.jsp
UC26E1,getUser.jsp
UC26E2,getPatientID.jsp
UC26E2,getUser.jsp
UC27S1,resetPassword.jsp
UC27S2,updateLabProc.jsp
UC28,viewPatientOfficeVisitHistory.jsp
UC29,myDiagnoses.jsp
UC30S1,sendMessage.jsp
UC30S2,getPatientID.jsp
UC30S2,getUser.jsp
UC30S2,sendMessage.jsp
UC30S3,viewMyMessages.jsp
UC30S4,viewMyMessages.jsp
UC30S4,reply.jsp
UC30S5,viewMyMessages.jsp
UC30S5,viewMyMessages.jsp
UC30E1,getUser.jsp
UC30E2,getPatientID.jsp
UC30E2,getUser.jsp
UC31S1,viewExpiredPrescriptionRecords.jsp
UC31S2,viewExpiredPrescriptionRecords.jsp
UC31S2,viewLHCP.jsp
UC32S2,viewPrescriptionRenewalNeeds.jsp
UC32E1,viewPrescriptionRenewalNeeds.jsp
UC33S1,hcpConsultation.jsp
UC33S2,hcpConsultation.jsp
UC33E1,hcpConsultation.jsp
UC33E2,hcpConsultation.jsp
UC34S1,getPatientID.jsp
UC34S1,getUser.jsp
UC34S1,editPatientList.jsp
UC34S2,addTelemedicineData.jsp
UC34S3,monitorPatients.jsp
UC34S4,viewAdditionalInfo.jsp
UC34S5,getPatientMonitorList.jsp
UC34S5,addTelemedicineData.jsp
UC34S6,addTelemedicineData.jsp
UC34E1,getPatientID.jsp
UC34E1,getUser.jsp
UC35S1,viewPrescriptionRecords.jsp
UC35S1,reportAdverseEvent.jsp
UC35S2,viewMyRecords.jsp
UC35S2,reportAdverseEvent.jsp
UC36S1,monitorAdverseEvents.jsp
UC36S1,adverseEventDetails.jsp
UC36S2,monitorAdverseEvents.jsp
UC36S2,adverseEventDetails.jsp
UC36S3,adverseEventDetails.jsp
UC37S1,editOfficeVisit.jsp
UC37S2,editOfficeVisit.jsp
UC38S1,editNDCInteractions.jsp
UC38S2,editNDCodes.jsp
