Dataset,File,duplicate,nameproblem,scope,textorder,iounquantified,actoractor,justification,coordambiguity,uidesign,alternative,inconsistentloa,clarification,happy,size,meanactor,meanuc,coherence,outlinks,maxinlinks,anaphora,optional,nonnounstart,incompcomparison,passive,negation,maxsteplength,sencomplexity,lostfr
etour,UC37,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,4,1,True,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,9,3,False
etour,UC38,False,False,False,False,False,False,False,0.0,0.0,0.16666666666666666,0.0,0.0,True,6,1,False,0.6,10,18,0.0,0.0,1.0,0.0,0.0,0.1666666666666666,50,11,False
etour,UC39,False,False,False,False,False,False,False,0.0,0.0,0.125,0.0,0.0,True,8,1,False,0.4285714285714285,10,18,0.0,0.0,0.875,0.0,0.0,0.125,34,7,False
etour,UC40,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,6,1,False,0.4,7,9,0.0,0.0,1.0,0.0,0.0,0.0,13,4,False
etour,UC41,False,False,False,False,False,False,False,0.0,0.0,0.125,0.125,0.0,True,8,1,False,0.5714285714285714,6,2,0.125,0.0,0.875,0.0,0.0,0.0,27,5,False
etour,UC42,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,6,1,False,0.2,6,2,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,11,3,False
etour,UC43,False,False,False,False,False,False,False,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,True,6,1,False,0.6,7,18,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,28,6,False
etour,UC44,False,False,False,False,False,False,False,0.0,0.0,0.16666666666666666,0.0,0.0,True,6,1,False,0.4,3,18,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,28,6,False
etour,UC45,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,2,1,False,1.0,4,7,0.0,0.0,1.0,0.0,0.0,0.0,13,5,False
etour,UC46,False,False,False,False,False,False,False,0.0,0.0,0.0,0.16666666666666666,0.0,True,6,1,False,0.6,6,6,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,11,4,False
etour,UC47,False,False,False,False,False,False,False,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,True,6,1,False,0.6,7,7,0.0,0.0,0.5,0.0,0.0,0.0,28,6,False
etour,UC48,False,False,False,False,False,False,False,0.0,0.0,0.0,0.16666666666666666,0.0,True,6,1,False,0.4,5,6,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,11,4,False
etour,UC49,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,2,1,False,1.0,6,7,0.0,0.0,1.0,0.0,0.0,0.0,11,3,False
etour,UC50,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,2,1,False,1.0,7,18,0.5,0.0,1.0,0.0,0.0,0.0,13,5,False
etour,UC51,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,4,1,False,0.0,5,18,0.0,0.0,0.75,0.0,0.0,0.0,14,4,False
etour,UC52,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,4,1,False,0.3333333333333333,6,7,0.0,0.0,0.75,0.0,0.0,0.0,14,4,False
etour,UC53,False,False,False,False,False,False,False,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,True,6,1,False,0.6,6,18,0.0,0.0,1.0,0.0,0.0,0.1666666666666666,46,11,False
etour,UC54,False,False,False,False,False,False,False,0.0,0.0,0.25,0.0,0.0,True,4,1,False,0.3333333333333333,8,18,0.0,0.0,0.75,0.0,0.0,0.0,28,6,False
etour,UC55,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,3,1,False,0.0,3,18,0.0,0.0,0.0,0.0,0.0,0.0,22,6,False
etour,UC56,False,False,False,False,False,False,False,0.0,0.0,0.0,1.0,0.0,True,3,1,False,1.0,4,6,0.0,0.0,0.0,0.0,0.0,0.0,12,4,False
etour,UC57,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,4,1,False,0.6666666666666666,1,6,0.0,0.0,1.0,0.0,0.0,0.0,18,4,False
etour,UC58,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,2,1,False,0.0,4,6,0.0,0.0,1.0,0.0,0.0,0.0,12,3,False
itrust,UC1S1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,11,0,False,0.6,4,32,0.1666666666666666,0.0,0.0,0.0,0.1666666666666666,0.3333333333333333,32,7,False
itrust,UC1S2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,11,0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,12,3,False
itrust,UC1E1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,11,0,False,-1.0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,35,9,False
itrust,UC1E2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,11,0,False,1.0,0,0,0.5,0.0,0.0,0.0,1.0,0.0,24,4,False
itrust,UC2S1,False,False,False,False,False,False,False,0.0,0.2222222222222222,0.0,0.0,0.0,False,12,0,False,0.5,3,32,0.1111111111111111,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,44,12,False
itrust,UC2S2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,12,0,False,-1.0,3,32,0.0,0.0,0.0,0.0,0.0,0.0,23,6,False
itrust,UC2E2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,12,0,False,1.0,1,1,0.5,0.0,0.0,0.0,1.0,0.0,24,4,False
itrust,UC3S1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,10,0,False,-1.0,1,5,0.0,0.0,1.0,0.0,1.0,1.0,26,4,False
itrust,UC3S2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,10,0,False,0.0,3,32,0.5,0.0,0.0,0.0,0.5,0.0,15,4,False
itrust,UC3S3,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,10,0,False,1.0,3,1,0.5,0.0,0.5,0.0,0.0,0.0,29,9,False
itrust,UC3S4,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,10,0,False,-1.0,4,10,1.0,0.0,0.0,0.0,1.0,0.0,60,16,False
itrust,UC3S5,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,10,0,False,-1.0,3,8,0.0,0.0,0.0,0.0,1.0,0.0,17,5,False
itrust,UC3E1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.5,0.0,False,10,0,False,1.0,2,32,0.0,0.0,0.5,0.0,0.0,0.0,32,7,False
itrust,UC3E2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,10,0,False,-1.0,1,5,0.0,0.0,1.0,0.0,1.0,1.0,27,7,False
itrust,UC4S1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,7,0,False,1.0,5,32,0.5,0.0,0.5,0.0,0.5,0.5,47,7,False
itrust,UC4S2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,7,0,False,-1.0,4,24,0.0,0.0,0.0,0.0,0.0,0.0,31,7,False
itrust,UC4S3,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,7,0,False,-1.0,4,32,0.0,0.0,0.0,0.0,0.0,0.0,15,3,False
itrust,UC4S4,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,7,0,False,-1.0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,17,5,False
itrust,UC4E1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,7,0,False,-1.0,3,1,1.0,0.0,0.0,0.0,0.0,1.0,40,10,False
itrust,UC4E2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,7,0,False,-1.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,19,6,False
itrust,UC5S1,False,False,False,False,False,False,False,0.0,0.0,0.0,1.0,0.0,True,2,0,False,-1.0,1,8,0.0,0.0,1.0,0.0,1.0,0.0,21,5,False
itrust,UC5S2,False,False,False,False,False,False,False,0.0,0.0,0.0,1.0,0.0,True,2,0,False,-1.0,1,8,0.0,0.0,1.0,0.0,1.0,0.0,52,12,False
itrust,UC6S1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,6,0,False,1.0,3,24,0.0,0.0,0.0,0.0,1.0,0.5,29,8,False
itrust,UC6S2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,6,0,False,-1.0,3,24,1.0,0.0,0.0,0.0,0.0,0.0,19,5,False
itrust,UC6S3,False,False,False,False,False,False,False,0.0,0.0,0.6666666666666666,0.0,0.0,True,6,0,False,1.0,2,12,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,27,6,False
itrust,UC8S1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,2,0,False,-1.0,2,8,0.0,0.0,1.0,0.0,1.0,0.0,19,5,False
itrust,UC8S2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,2,0,False,-1.0,2,8,0.0,0.0,0.0,0.0,1.0,0.0,60,15,False
itrust,UC9S1,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,4,0,False,1.0,5,10,1.0,0.0,0.5,0.0,0.0,0.5,64,17,False
itrust,UC9S2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,4,0,False,0.0,2,5,0.5,0.0,0.0,0.0,0.0,0.0,127,21,False
itrust,UC10S1,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,9,0,False,1.0,7,32,0.25,0.0,0.0,0.0,0.0,0.0,77,19,False
itrust,UC10S2,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.5,False,9,0,False,1.0,1,8,0.0,0.0,0.5,0.0,0.5,0.0,54,13,False
itrust,UC10E1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,9,0,False,-1.0,2,32,0.0,0.0,0.0,0.0,0.0,0.0,17,2,False
itrust,UC10E2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,9,0,False,0.0,2,32,0.0,0.0,0.0,0.0,0.0,1.0,16,2,False
itrust,UC11S1,False,False,False,False,False,False,False,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,False,11,0,False,0.0,3,10,0.5,0.0,0.1666666666666666,0.0,0.3333333333333333,0.0,101,22,False
itrust,UC11S2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,11,0,False,1.0,3,10,0.5,0.0,0.0,0.0,0.5,0.0,45,6,False
itrust,UC11E1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,11,0,False,-1.0,2,32,0.0,0.0,0.0,0.0,0.0,0.0,15,2,False
itrust,UC11E2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,11,0,False,0.0,2,32,0.0,0.0,0.0,0.0,0.0,1.0,16,2,False
itrust,UC12,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,2,0,False,1.0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,56,14,False
itrust,UC13,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,2,0,False,-1.0,3,32,0.0,0.0,0.0,0.0,0.0,0.0,31,6,False
itrust,UC13E1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,2,0,False,-1.0,2,32,0.0,0.0,0.0,0.0,0.0,0.0,17,2,False
itrust,UC15S1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,10,0,False,1.0,2,1,0.5,0.0,0.0,0.0,0.0,0.0,81,18,False
itrust,UC15S2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,10,0,False,0.5,2,1,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,59,18,False
itrust,UC15S3,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,10,0,False,1.0,2,1,0.5,0.0,0.0,0.0,0.0,0.0,41,9,False
itrust,UC15S4,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,10,0,False,1.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,47,11,False
itrust,UC15E1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,10,0,False,-1.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,14,2,False
itrust,UC16,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.2,False,6,0,False,1.0,6,4,0.0,0.0,0.4,0.0,0.2,0.0,34,7,False
itrust,UC16E1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,6,0,False,-1.0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,38,8,False
itrust,UC17S1,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,True,4,0,False,-1.0,2,3,0.0,0.0,0.0,0.0,1.0,1.0,64,12,False
itrust,UC17S2,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,True,4,0,False,-1.0,2,3,0.0,0.0,1.0,0.0,0.0,1.0,59,9,False
itrust,UC17S3,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,True,4,0,False,1.0,2,3,0.5,0.0,0.0,0.0,0.0,1.0,20,5,False
itrust,UC18S1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,5,0,False,-1.0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,33,8,False
itrust,UC18S2,False,False,False,False,False,False,False,0.5,0.0,0.5,0.0,0.5,False,5,0,False,1.0,2,3,0.0,0.0,0.5,0.0,0.5,0.5,27,6,False
itrust,UC18E1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,5,0,False,-1.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,14,2,False
itrust,UC18E2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,5,0,False,-1.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,14,2,False
itrust,UC19S1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,9,0,False,1.0,3,24,0.5,0.0,0.0,0.5,0.5,0.0,49,10,False
itrust,UC19S2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,9,0,False,1.0,2,24,0.0,0.0,0.5,0.5,0.5,0.0,31,7,False
itrust,UC19S3,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,False,9,0,False,1.0,0,0,0.5,0.0,0.0,0.0,0.5,0.0,29,10,False
itrust,UC19E1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,9,0,False,-1.0,2,32,0.0,0.0,0.0,0.0,0.0,0.0,15,2,False
itrust,UC19E2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,9,0,False,0.0,2,32,0.0,0.0,0.0,0.0,0.0,1.0,14,2,False
itrust,UC21S1,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,4,0,False,-1.0,3,24,0.0,0.0,0.0,0.0,0.0,0.0,18,5,False
itrust,UC21E1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,4,0,False,-1.0,2,32,0.0,0.0,0.0,0.0,0.0,0.0,15,2,False
itrust,UC21E2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,4,0,False,0.0,2,32,0.0,0.0,0.0,0.0,0.0,1.0,16,3,False
itrust,UC22S1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.6666666666666666,False,14,0,True,1.0,0,0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,55,11,False
itrust,UC22S2,False,False,False,False,False,False,False,0.0,0.3333333333333333,0.0,0.0,0.0,False,14,0,True,1.0,0,0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,53,12,False
itrust,UC22S3,False,True,False,False,False,False,False,0.0,0.16666666666666666,0.0,0.0,0.5,False,14,0,True,1.0,0,0,0.3333333333333333,0.0,0.1666666666666666,0.0,0.0,0.0,47,12,False
itrust,UC22E1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,14,0,True,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,False
itrust,UC22E2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,14,0,True,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,22,5,False
itrust,UC23S1,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,7,0,False,-1.0,2,32,1.0,0.0,0.0,0.0,0.0,0.0,24,4,False
itrust,UC23S3,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.5,False,7,0,False,1.0,9,24,0.5,0.0,0.0,0.0,0.5,0.5,133,34,False
itrust,UC23S4,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,7,0,False,-1.0,2,4,1.0,0.0,0.0,0.0,0.0,0.0,25,9,False
itrust,UC23E1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,7,0,False,-1.0,2,32,0.0,0.0,0.0,0.0,0.0,0.0,13,2,False
itrust,UC23E2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,7,0,False,0.0,2,32,0.0,0.0,0.0,0.0,0.0,1.0,12,2,False
itrust,UC24,False,False,False,False,False,False,False,0.0,0.0,0.0,0.2,0.6,True,5,0,False,0.25,2,1,0.0,0.0,0.6,0.0,0.0,0.0,31,6,False
itrust,UC25,False,False,False,False,False,False,False,0.0,0.3333333333333333,0.0,0.0,0.0,False,5,0,False,1.0,3,3,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,94,28,False
itrust,UC25E1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,5,0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.5,0.5,15,3,False
itrust,UC26S1,False,False,False,False,False,False,False,0.0,0.0,0.25,0.0,0.0,False,16,0,False,1.0,2,8,0.25,0.0,0.0,0.0,0.0,0.0,55,9,False
itrust,UC26S2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.5,False,16,0,False,1.0,6,32,0.0,0.0,0.0,0.0,0.0,0.0,23,6,False
itrust,UC26S3,False,False,False,False,False,False,False,0.0,0.0,0.3333333333333333,0.0,0.0,False,16,0,False,0.5,4,32,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,39,9,False
itrust,UC26S4,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,16,0,False,1.0,1,8,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,20,4,False
itrust,UC26E1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,16,0,False,1.0,2,32,0.0,0.0,0.0,0.0,0.0,0.5,12,2,False
itrust,UC26E2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,16,0,False,1.0,2,32,0.0,0.0,0.0,0.0,0.0,0.5,11,2,False
itrust,UC27S1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,4,0,False,1.0,2,13,0.0,0.0,0.0,0.0,0.0,0.0,22,6,False
itrust,UC27S2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,4,0,False,1.0,2,13,0.0,0.0,0.0,0.0,0.5,0.0,17,4,False
itrust,UC28,False,False,False,False,False,False,False,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,True,3,0,False,1.0,3,24,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,20,6,False
itrust,UC29,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.4,True,5,0,False,1.0,5,24,0.4,0.0,0.2,0.2,0.4,0.0,90,22,False
itrust,UC30S1,False,False,False,False,False,False,False,0.0,0.2857142857142857,0.0,0.0,0.0,False,48,0,False,1.0,3,13,0.5714285714285714,0.0,0.1428571428571428,0.0,0.4285714285714285,0.0,37,9,False
itrust,UC30S2,False,False,False,False,False,False,False,0.0,0.16666666666666666,0.0,0.0,0.0,False,48,0,False,0.8,4,32,0.3333333333333333,0.0,0.1666666666666666,0.0,0.3333333333333333,0.0,55,13,False
itrust,UC30S3,False,False,False,False,False,False,False,0.0,0.14285714285714285,0.0,0.0,0.0,False,48,0,False,1.0,3,5,0.4285714285714285,0.0,0.0,0.0,0.1428571428571428,0.0,35,8,False
itrust,UC30S4,False,False,False,False,False,False,False,0.0,0.14285714285714285,0.0,0.0,0.0,False,48,0,False,1.0,3,5,0.2857142857142857,0.0,0.0,0.0,0.1428571428571428,0.0,34,8,False
