SentenceId,CodeElementId
UC23S3,FamilyDAO.java,
UC23S4,ViewMyReportRequestsAction.java,
UC23S4,ReportRequestDAO.java,
UC24,SurveyAction.java,
UC24,SurveyDAO.java,
UC25,ViewSurveyResultAction.java,
UC25,HospitalsDAO.java,
UC25,SurveyResultDAO.java,
UC26E1,GetUserNameAction.java,
UC26E1,AuthDAO.java,
UC26E2,GetUserNameAction.java,
UC26E2,AuthDAO.java,
UC26S1,ViewMyRecordsAction.java,
UC26S1,LabProcedureDAO.java,
UC26S2,GetUserNameAction.java,
UC26S2,AuthDAO.java,
UC26S2,LabProcUAPAction.java,
UC26S2,EditPatientAction.java,
UC26S2,PatientDAO.java,
UC26S2,LabProcedureDAO.java,
UC26S3,GetUserNameAction.java,
UC26S3,AuthDAO.java,
UC26S3,LabProcUAPAction.java,
UC26S3,LabProcedureDAO.java,
UC26S4,LabProcedureDAO.java,
UC27S1,ResetPasswordAction.java,
UC27S1,EmailUtil.java,
UC27S2,LabProcUAPAction.java,
UC27S2,EmailUtil.java,
UC28,ViewPatientOfficeVisitHistoryAction.java,
UC28,OfficeVisitDAO.java,
UC28,PatientDAO.java,
UC29,MyDiagnosisAction.java,
UC29,PatientDAO.java,
UC29,PersonnelDAO.java,
UC29,OfficeVisitDAO.java,
UC29,LabProcedureDAO.java,
UC2E2,AddPersonnelValidator.java,
UC2S1,AddHCPAction.java,
UC2S1,PersonnelDAO.java,
UC2S1,AuthDAO.java,
UC2S2,AddUAPAction.java,
UC2S2,PersonnelDAO.java,
UC2S2,AuthDAO.java,
UC30E1,GetUserNameAction.java,
UC30E1,AuthDAO.java,
UC30E2,GetUserNameAction.java,
UC30E2,AuthDAO.java,
UC30S1,SendMessageAction.java,
UC30S1,MessageDAO.java,
UC30S1,EmailUtil.java,
UC30S2,GetUserNameAction.java,
UC30S2,AuthDAO.java,
UC30S2,SendMessageAction.java,
UC30S2,PatientDAO.java,
UC30S3,ViewMyMessagesAction.java,
UC30S3,MessageDAO.java,
UC30S3,SendMessageAction.java,
UC30S4,ViewMyMessagesAction.java,
UC30S4,MessageDAO.java,
UC30S4,SendMessageAction.java,
UC30S5,ViewMyMessagesAction.java,
UC30S5,MessageDAO.java,
UC31S1,PatientDAO.java,
UC31S1,ViewExpiredPrescriptionsAction.java,
UC31S1,PersonnelDAO.java,
UC32S2,ViewPrescriptionRenewalNeedsAction.java,
UC32S2,PersonnelDAO.java,
UC32S2,PatientDAO.java,
UC33S1,PatientDAO.java,
UC33S1,PersonnelDAO.java,
UC33S1,ReferralManagementAction.java,
UC33S1,ReferralDAO.java,
UC33S2,ReferralManagementAction.java,
UC33S2,PatientDAO.java,
UC33S2,PersonnelDAO.java,
UC33S2,ReferralDAO.java,
UC34E1,GetUserNameAction.java,
UC34E1,AuthDAO.java,
UC34E2,RemoteMonitoringDataBeanValidator.java,
UC34E3,RemoteMonitoringDataBeanValidator.java,
UC34E4,RemoteMonitoringDAO.java,
UC34S1,GetUserNameAction.java,
UC34S1,AuthDAO.java,
UC34S1,EditMonitoringListAction.java,
UC34S1,RemoteMonitoringDAO.java,
UC34S2,AddRemoteMonitoringDataAction.java,
UC34S2,RemoteMonitoringDAO.java,
UC34S3,ViewMyRemoteMonitoringListAction.java,
UC34S3,AuthDAO.java,
UC34S3,RemoteMonitoringDAO.java,
UC34S4,ViewMyRemoteMonitoringListAction.java,
UC34S4,PatientDAO.java,
UC34S4,RemoteMonitoringDAO.java,
UC34S5,ViewMyRemoteMonitoringListAction.java,
UC34S5,RemoteMonitoringDAO.java,
UC34S5,AuthDAO.java,
UC34S5,AddRemoteMonitoringDataAction.java,
UC34S6,AddRemoteMonitoringDataAction.java,
UC34S6,RemoteMonitoringDAO.java,
UC34S6,EditRepresentativesAction.java,
UC34S6,PatientDAO.java,
UC35S1,ViewPrescriptionRecordsAction.java,
UC35S1,PatientDAO.java,
UC35S1,ReportAdverseEventAction.java,
UC35S1,AdverseEventDAO.java,
UC35S1,EmailUtil.java,
UC35S2,ViewMyRecordsAction.java,
UC35S2,OfficeVisitDAO.java,
UC35S2,ReportAdverseEventAction.java,
UC35S2,AdverseEventDAO.java,
UC35S2,EmailUtil.java,
UC36S1,MonitorAdverseEventAction.java,
UC36S1,AdverseEventDAO.java,
UC36S1,PatientDAO.java,
UC36S1,EmailUtil.java,
UC36S2,MonitorAdverseEventAction.java,
UC36S2,AdverseEventDAO.java,
UC36S2,PatientDAO.java,
UC36S2,EmailUtil.java,
UC36S3,MonitorAdverseEventAction.java,
UC36S3,SendMessageAction.java,
UC36S3,MessageDAO.java,
UC36S3,PersonnelDAO.java,
UC36S3,EmailUtil.java,
UC36S3,AdverseEventDAO.java,
UC37S1,EditOfficeVisitAction.java,
UC37S1,AllergyDAO.java,
UC37S2,EditOfficeVisitAction.java,
UC37S2,DrugInteractionDAO.java,
UC37S2,OfficeVisitDAO.java,
UC37S3,EmailUtil.java,
UC37S3,EditOfficeVisitAction.java,
UC37S3,PatientDAO.java,
UC38S1,DrugInteractionAction.java,
UC38S1,DrugInteractionDAO.java,
UC38S2,DrugInteractionAction.java,
UC38S2,DrugInteractionDAO.java,
UC3E1,ResetPasswordAction.java,
UC3E1,AuthDAO.java,
UC3E2,ResetPasswordAction.java,
UC3S1,ResetPasswordAction.java,
UC3S2,ResetPasswordAction.java,
UC3S2,AuthDAO.java,
UC3S2,EmailUtil.java,
UC3S3,ChangeSessionTimeoutAction.java,
UC3S3,AccessDAO.java,
UC3S3,SessionTimeoutListener.java,
UC3S4,LabProcHCPAction.java,
UC3S4,ReportRequestDAO.java,
UC3S4,OfficeVisitDAO.java,
UC3S4,LabProcedureDAO.java,
UC3S5,LabProcedureDAO.java,
UC3S5,ViewMyReportRequestsAction.java,
UC3S5,ReportRequestDAO.java,
UC4E1,SecurityQAValidator.java,
UC4E1,PatientValidator.java,
UC4E1,PersonnelValidator.java,
UC4S1,EditPatientAction.java,
UC4S1,EmailUtil.java,
UC4S1,PatientDAO.java,
UC4S1,SetSecurityQuestionAction.java,
UC4S1,AuthDAO.java,
UC4S2,SearchUsersAction.java,
UC4S2,PatientDAO.java,
UC4S2,EditPatientAction.java,
UC4S2,EmailUtil.java,
UC4S3,EditPersonnelAction.java,
UC4S3,SetSecurityQuestionAction.java,
UC4S3,PersonnelDAO.java,
UC4S3,AuthDAO.java,
UC4S4,TransactionDAO.java,
UC5S1,TransactionDAO.java,
UC5S2,TransactionDAO.java,
UC6S1,ViewVisitedHCPsAction.java,
UC6S1,PatientDAO.java,
UC6S1,PersonnelDAO.java,
UC6S2,ViewVisitedHCPsAction.java,
UC6S2,DeclareHCPAction.java,
UC6S2,PatientDAO.java,
UC6S3,ViewVisitedHCPsAction.java,
UC6S3,PersonnelDAO.java,
UC8S1,ViewMyAccessLogAction.java,
UC8S1,TransactionDAO.java,
UC8S2,ViewMyAccessLogAction.java,
UC8S2,TransactionDAO.java,
UC9S1,ViewMyRecordsAction.java,
UC9S1,AllergyDAO.java,
UC9S1,OfficeVisitDAO.java,
UC9S1,HealthRecordsDAO.java,
UC9S1,LabProcedureDAO.java,
UC9S2,ViewMyRecordsAction.java,
UC9S2,FamilyDAO.java,
